asset_url,ext,used_on_pages
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1144x1098_v-fs_webp_cb265641-c2a7-4521-bc09-a7e630774627_small.webp",webp,"/news_contents/UEH3LjRQ"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1150x775_v-fs_webp_4539543b-9342-463c-9fbc-b3cb60d24309.png",png,"/news_contents/sMHFHQeb"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1150x775_v-fs_webp_4539543b-9342-463c-9fbc-b3cb60d24309_small.webp",webp,"/news_contents/sMHFHQeb"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1174x277_v-fs_webp_b2fbbb00-ef54-47b3-ab7c-775325734077.jpg",jpg,"/news_contents/chukoh"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1174x277_v-fs_webp_b2fbbb00-ef54-47b3-ab7c-775325734077_small.webp",webp,"/news_contents/chukoh"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1179x229_v-fs_webp_abfe76eb-aa51-49b1-bc07-61500b766641.jpg",jpg,"/news_contents/shimz_sojitz"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1179x229_v-fs_webp_abfe76eb-aa51-49b1-bc07-61500b766641_small.webp",webp,"/news_contents/shimz_sojitz"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1186x375_v-fs_webp_8f3e95a9-7bb7-49a3-a225-dc8d4f376d95.jpg",jpg,"/news_contents/hotalux"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1186x375_v-fs_webp_8f3e95a9-7bb7-49a3-a225-dc8d4f376d95_small.webp",webp,"/news_contents/hotalux"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1197x295_v-fs_webp_28f1bc86-f803-4670-8028-cdd1f768babf.jpg",jpg,"/news_contents/chukoh"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1197x295_v-fs_webp_28f1bc86-f803-4670-8028-cdd1f768babf_small.webp",webp,"/news_contents/chukoh"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1228x900_v-fms_webp_af2d4da4-5163-4eeb-a4a5-10497c37478d.jpg",jpg,"/news_contents/fieldworkers_LA-Eye"
